rank URL page-size
1 http://www.google.com/ 154860
2 http://www.yahoo.com/ 322328
3 http://www.amazon.com/ 347711
4 http://www.about.com/ 513288
5 http://www.bartleby.com/ 47841
6 http://groups.google.com/ 21885
7 http://news.google.com/ 584405
8 http://www.cnn.com/ 91456
9 http://www.ebay.com/ 169776
10 http://www.download.com/ 78356
11 http://www.craigslist.org/ 53982
12 http://www.reference.com/ 50137
13 http://www.wikipedia.org/ 95417
14 http://www.beliefnet.com/ 137520
15 http://www.anywho.com/ 17472
16 http://www.weather.com/ 252740
17 http://www.search.com/ 7960
18 http://www.hotmail.com/ 9623
19 http://www.nih.gov/ 66846
20 http://www.cnet.com/ 235573
21 http://www.lrb.co.uk/ 24918
22 http://www.refdesk.com/ 109665
23 http://www.mayoclinic.com/ 24656
25 http://www.firstgov.gov/ 25153
26 http://www.bbc.com/ 184699
27 http://www.imdb.com/ 149109
28 http://www.expedia.com/ 161672
29 http://www.slate.com/ 224186
30 http://www.nutrition.gov/ 33430
31 http://www.altmedicine.com/ 1554
32 http://www.citysearch.com/ 34308
33 http://www.monster.com/ 64812
34 http://www.vote-smart.org/ 50688
35 http://www.sciam.com/ 70878
36 http://www.espn.com/ 336155
37 http://www.encarta.com/ 71606
38 http://www.findlaw.com/ 48474
39 http://www.nature.com/ 252105
40 http://www.usatoday.com/news/states/ns1.htm 38675
41 http://www.allposters.com/ 118364
42 http://www.time.com/ 131417
43 http://www.mapquest.com/ 12128
44 http://www.abebooks.com/ 49155
45 http://www.allmusic.com/ 108382
46 http://www.medlineplus.gov/ 24971
47 http://www.dmoz.org/ 17546
48 http://www.loc.gov/ 119963
49 http://windowsmedia.msn.com/radiotuner/ 1020
50 http://www.ucomics.com/ 55068
51 http://www.infoplease.com/ 37509
52 http://www.alexa.com/ 25305
54 http://www.un.org/ 5212
55 http://www.sacred-texts.com/ 13399
56 http://www.artforum.com/ 260830
57 http://www.webmd.com/ 110614
58 http://www.vlib.org/ 5221
59 http://moneycentral.msn.com/ 32229
60 http://www.classmates.com/ 26690
62 http://groups.yahoo.com/ 61336
63 http://www.nybooks.com/ 49147
64 http://www.jokes.com/ 49277
65 http://www.priceline.com/ 166549
67 http://www.ipl.org/ 9897
69 http://www.quicken.com/ 81139
71 http://lpi.oregonstate.edu/infocenter/ 43917
72 http://www.pcmag.com/ 150248
73 http://www.timesonline.co.uk/ 103245
75 http://www.iht.com/ 28381
76 http://onlinebooks.library.upenn.edu/ 2800
77 http://www.pogo.com/ 113176
78 http://www.bizrate.com/ 32322
79 http://www.billboard.com/ 105593
80 http://world.altavista.com/ 3388
81 http://www.give.org/ 19992
82 http://mathworld.wolfram.com/ 13459
83 http://www.webring.org/ 125
84 http://www.careerbuilder.com/ 37593
86 http://www.epinions.com/ 49983
87 http://www.ucalgary.ca/%7Elipton/journals.html 139028
88 http://www.aldaily.com/ 62433
89 http://www.nolopress.com/ 80362
90 http://www.classical.net/ 20922
91 http://www.blogger.com/ 48933
92 http://www.nytimes.com/ 172235
93 http://www.earthcam.com/ 121821
95 http://www.intelihealth.com/ 328435
96 http://www.livejournal.com/ 163472
97 http://www.bbc.co.uk/religion/ 70484
100 http://www.gutenberg.net/ 24680
